"english","tulu"
"Arn Batteg Silly : Baltata K. Field place : Wicketkeeper. Idamutta Gobina Tandolu : Karnatakas Bangaluru Brigadier Indian left-handed batsman.","ಆರ್ನ ಬ್ಯಾಟಿಂಗ್ ಶೈಲಿ:ಬಲತ್ತ ಕೈ; ಫೀಲ್ಡಿಂಗ್ ಸ್ಥಾನ: ವಿಕೆಟ್ ಕೀಪರ್; ಇದೆಮುಟ್ಟ ಗೊಬ್ಬಿನ ತಂಡೊಲು: ಕರ್ನಾಟಕ  ಬೆಂಗಳೂರು ಬ್ರಿಗೇಡಿಯರ್  ಭಾರತ ೧೯ ವಯಸ್ಸಿನ ಕೆಳಗಿನವರು  ೨೩ ವಯಸ್ಸಿನ ಕೆಳಗಿನವರು  ಆರ್ಸಿಬಿ  ದಕ್ಷಿಣವಲಯ  ಸನ್ ರೈಸರ್ಸ್ ಹೈದರಾಬಾದ್"
"Andalusian proteinase is a protein that acts as a regulatory regulator.","ಆಂಡಲಾ  ನಪುಂಸಕ ಪೊಥಿನಸ್ ಅರೆನ ಪರವಾದ್ ಆಡಳಿತೊನು ನಿಯಂತ್ರಣ ಮಲ್ತೆರ್"
"Take Karnatak Janapada Kalakshetra : Sampatak-Goho.","ಉಲ್ಲೇಕೊಲು ಕರ್ನಾಟಕ ಜನಪದ ಕಲೆಗಳು: ಸಂಪಾದಕ-ಗೊ"
"At the time of the 2006 national census of India  it had a population of 172 772 with 44 217 households.","ಜನಸಂಖ್ಯಾಶಾಸ್ತ್ರ ಜನಸಂಖ್ಯೆ 2006ತ ರಾಷ್ಟ್ರೀಯ ಜನಗಣತಿಯ ಸಮಯೊಡು  ಈ ಊರುದ ಜನಸಂಖ್ಯೆ 44 217 ಕುಟುಂಬೊಡು 172 772 ಆದು ಇತ್ತುಂಡು"
"Boko kudonji bajon do malpun kurve di aikonji kuntu pundit na aik padda ga.","ಬುಕ್ಕೊ ಕುಡೊಂಜಿ ಬಾಜನೊಡು ಮಲ್ಪ ಅರಿಪುನ ಕುರ್ವೆ ದೀದ್ ಐಕೊಂಜಿ ಕುಂಟು ಪಾಂಡ್ದ್ ಎಣ್ಣೆನ್ ಐಕ್ ಪಾಡ್ದ್ ಗಾಳಿಯೊಡು"
"Welcome to the world of travel statistics for the day of Kittlang. - कत्तिल्लग दिनोला साविद्य संधान में बार्पेर","ಕಟೀಲ್ಗ್ ದಿನೋಲಾ ಸಾವಿರತ್ತ ಸಂಖ್ಯೆಡ್ ಭಕ್ತಾಭಿಮಾನಿಲು ಬರ್ಪೇರ್"
"Jogukulang Thandelan Mardar Mpur","ಜೋಕುಲೆಗ್ ತೆಂಡೆಲ್‍ನ್ ಮರ್ದ್ ಮನ್ಪೆರ್"
"When the motor of the turbine is connected to the cylinder of the cylinder  the voltage across the cylinder will be equal to this value.","ತೀರ್ ಪೋಯಿನ ಮೂಕಾಂಬಿ ಗುಳಿಗನ ಒಟ್ಟಿಗೆ ಸೇರೊಂದು ಮೂಕಾಂಬಿ ಗುಳಿಗ ಆತಲ್  ಅಲೆಡ್ದಾವೆರೆನೆ ಈ ಅನರ್ತೊಲು ಆದಿಪುಂಡು"
"For example  if you are a student  you will be able to complete all the tasks at once.","ಉಂದು ಒಂಜಿ ತಿನಿಯೆರೆ ಆಪುನ ವಸ್ತ್"
"For the first time in the history of the country  a large number of people have come together to protest against the central government's decision to give special status to Jammu and Kashmir.","ಹಿಮಮಾನವೊಲು ಕರಗುನಗ  ಸಾಮಾನ್ಯವಾದ್ ಸೂರ್ಯನ ಕಿರಣೊಲೆನ್ ಪ್ರತಿಬಿಂಬಿಸವುನ ಹಿಮದ ಬಿಳುಪುದ ಮೇಲ್ಮೈ ಕುಗ್ಗುಂಡು ಬುಕ್ಕೊ ಅಯಿಕ್ ಬದಲಾದ್ ಹೆಚ್ಚಿನ ಪ್ರತಿಬಿಂಬಿಸವುನ ಕಪ್ಪು ಅತ್ತಂಡ ಕಪ್ಪು ಮೇಲ್ಮೈ ಬರ್ಪುಂಡು"
"This direction is marked by a prominent booklet  the Barsa Mallabpur Prashad Thoiyer.","ಈ ದೈಕುಲು ಉಷ್ಣವಲಯ ಬುಕ್ಕೊ ದಿಂಜ ಬರ್ಸ ಮಳೆಬರ್ಪುನ ಪ್ರದೇಶಡ್ ತೂಯೆರೆ ತಿಕ್ಕುಂಡು"
"The Athletics Federation of India ( AFFI ) is the governing body for athletics in India.","ಆರ್ ಅಥ್ಲೆಟಿಕ್ಸ್ ಫೆಡರೇಶನ್ ಆಫ್ ಇಂಡಿಯಾ (ಎಎಫ್ಐ) ದ ಇತ್ತೆದ ಅಧ್ಯಕ್ಷೆರ್ ಆದ್ ಉಲ್ಲೆರ್"
"The book is a collection of short stories by Punj Pande and Rudy Dand.","ಬುಕ್ಕೊ ಈ ಕುಟುಮ್ಮೊದಕ್ಲೆನ್ ಪಂಜೆ ಪಂಡ್‍ದ್ ಲೆಪ್ಪುನವು ರೂಡಿಯಾಂಡ್"
"There is a commercial development effort for a big film like Aram Thampuran Bokka Pathram Karmottu Left Block Left Block and many more profit-making projects.","ಅರೆನ ಬಹುತೇಕ ಸಿನಿಮಾಲು ವಾಣಿಜ್ಯ ದೃಷ್ಟಿಡ್ ಯಶಸ್ವಿಯಾದಿತ್ತೆ  ಆರಮ್ ತಂಪುರನ್ ಬೊಕ್ಕ ಪಥ್ರಾಮ್ ಕ್ರಮೊಟ್ಟು ೧೯೯೬ ಬೊಕ್ಕ ೧೯೯೯ಡ್ ಅತಿ ಹೆಚ್ಚು ಲಾಭ ಗಳಸಾಯಿನ ಮಲಯಾಳಂ ಸಿನಿಮಾಲು ಆದಿತ್ತೆ"
"If you look at this magnetic field  it is the most energy-intensive.","ಈ ಮಾಂತ ದೈಕುಲೆನ ಮಲ್ಲ ಮರ್ದ್ ಉಪಯೋಗ ಪಂಡ ಅವು ಜೀರ್ಣಶಕ್ತಿಡ್ ಸೇರುನವು"
"A pair of gauze patties cut into bars","ಸೊಂಟೊಗು ಗೆಜ್ಜೆದ ಪಟ್ಟಿ ಕಟ್ಟ್‌ಬೆರ್"
"The other one is called the independent solution.","ಬೊಕ್ಕ ಅರೆನ ಸ್ವಂತ ಸವಾಲುಲೆನ್ ಎದುರಿಸೊಂದಿತ್ತೆರ್"
"Who is the father of Navodaya Vamana?","ನಾವಡ ವಾಮನ ನಂದಾವರ ಎನ್"
"The main attraction of this Devasthanam is the Pandu Temple.","ಈ ದೇವಸ್ತಾನೊದ ಪ್ರಮುಖ ಆಕರ್ಷಣೆ ಪಂಡ ಪದಿನೆಣ್ಮ ಮೊಟ್ಟುಲು"
"The middle and upper court is a small hallway with a kennel.","ಮೂಡಾಯಿ ಅತ್ತ್ಂಡ ಪಡ್ಡೆಯಿದ ಕರೆಟ್ ಒಂಜಿ ಎಲ್ಯ ಕಲ ಮಲ್ತ್ ದ್ ಅವುಲು ಏಣೆಲ್ ಬೇಸಾಯೊದ ಬಿತ್ತ್ ನ್ ಬಿತ್ತ್ ಪಾಡುವೆರ್"
"The one who has prepared the Dhupalakshmya carries a huge shawl on his forehead for the purpose of Kshelankar of the Pradnya Tritiya.","ದೀಪಲಕ್ಷ್ಮಿಯನ್ನು ತಯಾರಿಸಿದವನು ತನ್ನ ಪ್ರಾಂತೀಯ ಕೇಶಾಲಂಕಾರ  ಉಡಿಗೆ ತೊಡಿಗೆ ಆಭರಣ ಶೈಲಿ ಮುಂತಾದವನ್ನು ಅಳವಡಿಸಿರುತ್ತಾನೆ"
"Bloomberg Radio Bloomberg Television Bloomberg News private service Bloomberg Television is a left-handed short-distance television channel.","ಬ್ಲೂಮ್‌ಬರ್ಗ್ ರೇಡಿಯೋ ಬ್ಲೂಮ್‌ಬರ್ಗ್ ಟೆಲಿವಿಷನ್ ಬ್ಲೂಮ್ಬರ್ಗ್ ನ್ಯೂಸ್‌ದ ಒಂಜಿ ಸೇವೆ ಬ್ಲೂಮ್ಬರ್ಗ್ ಟೆಲಿವಿಷನ್  ಉಂದು ೨೪ ಗಂಟೆ ಹಣಕಾಸ್ದ ಸುದ್ದಿ ಕೊರ್ಪುನ ದೂರದರ್ಶನ ಜಾಲ"
"There is a rail route.","ರೈಲ್‌ಮಾರ್ಗ ಇತ್ತ್ಂಡ್"
"It's five o 'clock in the morning","ಕುಡೆಕಲ್ಲು ಐನ್ ಮನೆ"
"This is the Adyghe Manzil Gatti Pandala Laptop","ಈ ಅಡ್ಯೆಗ್ ಮಂಜಲ್ದಿರೆತ್ತ ಗಟ್ಟಿ ಪಂಡ್‍ದ್‍ಲಾ ಲೆಪ್ಪುವೆರ್"
"Use / q / double g / ʔ / ; /ʁ / buckco / ŋʁ / triple g / h / to speak with a direct book question.","ದಕ್ಷಿಣ ಬುಕ್ಕೊ ಪಶ್ಚಿಮೊದ ಉಪಬಾಸೆಲು /q/ ಬದಲ್‌ಗ್ /ʔ/ ; /ʁ/ ಬುಕ್ಕೊ /ŋʁ/ ಬದಲ್‌ಗ್ /h/ ನ್ ಹೊಂದ್‌ದೊ"
"Muay Thai Pond Private Flight Art of the Attractions Limited is a private jet aircraft manufacturer based in New Delhi  India.","ಮುಯೆ ಥಾಯ್ ಪಂಡ ಒಂಜಿ ಫೈಟಿಂಗ್ ಆರ್ಟ್ ಆಫ್ ಅಟ್ರಿಷನ್  ಅಲ್ಪ ಎದುರಾಳಿಲು ಒಂಜೊಂಜಿ ಗುದ್ದುನ ವಿನಿಮಯ ಮಲ್ಪುವೆರ್"
"A view of the famous Mahatma Gandhi statue in Chennai.","ನರಮಾನಿನ ಮನಸ್ಸ್‌ಗ್ ರೋಮಾಂಚನ ಕನಪುನ ಜಾಗೆ  ಮನಮೋಹಕ ದೃಶ್ಯ"
"* Prime Minister's position with the central government","*ಕೇಂದ್ರ ಸರ್ಕಾರೊದ ಪದ್ಮಶ್ರೀ ಪ್ರಶಸ್ತಿ ಬತ್ತ್ಂಡ್"
"Take the example of Kateel Theertha Kadhoni.","ಉಂದೆನ್ ಕಟೀಲ್ ತೇರ್‌ದ ಕಡೆತಾನಿ ಗೊಬ್ಬುವೆರ್"
"South East Asian Athletics Championship 2012 - Rt.Bangarh Pakol - ( JAWELIN & DISCUS ) - JAWAELIN F-53 PONJOLD PROFESSIONAL DOCUMENTARY","ಸುರುತ ಮಲೇಷ್ಯನ್ ಓಪನ್ ಅಥ್ಲೆಟಿಕ್ಸ್ ಚಾಂಪಿಯನ್ಷಿಪ್ನ್‌ಡ್ ಏಪ್ರಿಲ್ 2012 -ರಡ್ದ್ ಬಂಗಾರ್ದ ಪದಕೊಲು - (ಜಾವೆಲಿನ್ & ಡಿಸ್ಕಸ್) - ಜಾವೆಲಿನ್ ಎಫ್ -53 ಪೊಂಜೊಲೆಡ್ ಪೊಸ ಅಧಿಕೃತ ಏಷ್ಯಾದ ದಾಖಲೆದೊಟ್ಟುಗು - ಮಿಲ್ಖಾ ಸಿಂಗ್ ಜಿ ಬುಕ್ಕೊ ಪಿಟಿ"
"The system for the rail line is similar to the one for the railway line.","ರೈಲ್ ಪಯನೊ ನಗರೊದ ಮುಕ್ಯ ಸಾರಿಗೆ ವ್ಯವಸ್ಥೆ ‍ ರೈಲ್ ಸಾರಿಗೆ"
"Thn Guru Kulegatar Prarthana Karnag Du Kuniyandag Gold Thrd Klotsh Pappin Kavita Paddar","ತನ್ನ ಗುರುಕುಲೆಗಾತ್ರ ಪ್ರದರ್ಶನ ಕೊರ್ನಗ  ಡು ಕ್ಯುನಿಯಾಂಗ್ ""ಗೋಲ್ಡನ್ ಥ್ರೆಡ್ ಕ್ಲೋತ್ಸ್"" ಪನ್ಪಿನ ಕಬಿತೆನ್ ಪಾಡ್ದೆರ್"
"Because the second half of the day  the first quarter of the week  the second quarter  the third quarter  and the last quarter  it's going to be a lot of fun.","ಏಳ್ನೆ ದಿನ ಪಂಡ ಸಪ್ತಮಿಡ್ದ್ ಬುಕ್ಕೊ ತ್ರಿದಿನ ದುರ್ಗಾಪೂಜೆ ಪಂದ್ ಆಚರಣೆ ಮಲ್ಪುನ ಕ್ರಮಲ ಉಂಡು"
"Increase productivity Great reduction array calendar","ಕೃಷ್ಣನ್ ಬದುಕುದು ಉಪ್ಪುನ ಕತೆಕುಲೆನ್ ಅರೆಗ್ ಕೇಂಡೆರ್"
"Key to the overall success of the company was the development of Ireland's international technology sector.","ಲಭ್ಯವಾಯಿನ ಎಲ್ಯ ಸಾಕ್ಷ್ಯೊಲು ಮುಖ್ಯವಾದ್ ಐರ್ಲೆಂಡ್ ಗ್ ಬರ್ಪಿನ ವಿದೇಶಿ ಸಂದರ್ಶಕೆರೆಡ ತಿಕ್ಕ್ಂಡ್"
"Anupama More is the first author to write a book on the topic of women's health. - अनुपमा मेरे मारें का लेक्षिकारन के लिए प्रमेश्राद तोजीबर","ಅನುಪಮಾ ಮೇರ್ ಮಾತಾ ಕಾಲದ ಲೇಖಕೆರ್ನ ಒಟ್ಟಿಗೆ ಪ್ರಮುಖೆರಾದ್ ತೋಜಿಬೆರ್"
"If you are a rich man  then you will be rich.","ಜೀವೆ ಬದ್ಧ ಪುರುಷೆ ಆದ್ ಉಪ್ಪುವೆ"
"To the left is a small area of Oxfordshire with a small farmhouse.","ಪೂ ೪೦೦೦ಡ್  ಒಸ್ಲೋಫ್ಜೋರ್ಡ್ ದ ಸುತ್ತಮುತ್ತದ ಪ್ರದೇಶೊಡು ಸುರುತ ಕೃಷಿ ಚಟುವಟಿಕೆಲು ಸುರುವಾಂಡ್  ಉಂದು ನವಶಿಲಾಯುಗೊದ ಸುರುತ ಗುರುತು"
"Another example is the development of international public relations  such as the World Trade Organization ( WTO ) and the International Monetary Fund ( IMF ).","ನ್ಹಾ ಟ್ರಾಂಗ್ ಅಯಿತ ಕಡಲತೀರೊಲು ಬುಕ್ಕೊ್ಕ ಸ್ಕೂಬಾ ಡೈವಿಂಗ್ ಗ್ ಪುದರ್ ಪೋತುಂಡು ಬುಕ್ಕೊ್ಕ ಅಂತರರಾಷ್ಟ್ರೀಯ ಪ್ರವಾಸಿಲೆಗ್ ಜನಪ್ರಿಯ ತಾಣ ಆದ್ ಅಭಿವೃದ್ಧಿ ಆತ್ಂಡ್  ಉಂದು ಮಸ್ತ್ ಸಂಖ್ಯೆಡ್ ಬ್ಯಾಕ್ ಪ್ಯಾಕರ್ ಲೆನ್ ಆಕರ್ಷಣೆ ಮಲ್ಪುಂಡು  ಅಂಚನೆ ಆಗ್ನೇಯ ಏಷ್ಯಾ ಸರ್ಕ್ಯೂಟ್ ಡ್ ಜಾಸ್ತಿ ಶ್ರೀಮಂತ ಪ್ರಯಾಣಿಕೆರೆನ್ ಆಕರ್ಷಣೆ ಮಲ್ಪುಂಡು; ಉಂದು ದುಂಬೇ ವಿಯೆಟ್ನಾಮಿ ಪ್ರವಾಸಿಲೆನ ನಡುಟು ಮಸ್ತ್ ಜನಪ್ರಿಯ ಆತ್ಂಡ್  ನ್ಹಾ ಟ್ರಾಂಗ್ ಕೊಲ್ಲಿನ್ ಜಗತ್ತ್ ದ ಅತ್ಯಂತ ಪೊರ್ಲುದ ಕೊಲ್ಲಿಲೆಡ್ ಒಂಜಿ ಪಂಡ್ದ್ ಪರಿಗಣಿಸವೊಂಡುಂಡು"
"Take a one-time delivery and bring it to the atlogger where it does not exist.","ಒಂಜಿ ವೊಂತೆ ತೊರದ ಕೊಡಿ ಬೆದುರುನ್ ಕಡ್ತುದ್ ಅವು ಇಲ್ಲದ ಅಟ್ಟೊಗ್ ಸರಿಯಾದ್ ಐನ್ ಯಾನ್ ಏಳ್ ಕೊಲ್ ಉದ್ದ ಇಪ್ಪೊಡು"
"नामबर एक लेख तानी वी","ನವಂಬರ್ ೯ ೯೮೯ ತಾನಿ ವಿ"
"Apag aur main phaan ramud thojid bataar baka mein nahi sarti art flik atakatha dard thoji data alp arnat win nattane ke liye ek kalti hai.","ಅಪಗ ಆರ್ ಮೈ ಫ್ಯಾನ್ ರಾಮುಡ್ ತೋಜಿದ್ ಬತ್ತೆರ್ ಬೊಕ್ಕ ನನೊಂಜಿ ಸರ್ತಿ ಆರ್ಟ್ ಹೌಸ್ ಫ್ಲಿಕ್  ಆಟಕಥಾ ಡ್ ತೋಜಿದ್ ಬತ್ತೆರ್  ಅಲ್ಪ ಆರ್ ನಟ ವಿನೀತ್ ನಟನೆ ಮಲ್ತಿನ ಒರಿ ಕಥಕಳಿ ಕಲಾವಿದೆರೆನ ಆಂಗ್ಲೊ-ಇಂಡಿಯನ್ ಮಗಳ್ ಆದ್ ನಟನೆ ಮಲ್ತೆರ್"
"The first stage of the project","ಉಂದೊಂಜಿ ಪೊಸ ವರ್ಗೊ"
"-- User : Sannita ( WMF ) ( talk ) Left : John left ( IST ) in front of a group of people.","-- User:Sannita (WMF) (talk) ೧೯:೦೦  ೨೫ ಜೂನ್ ೨೦೨೬ (IST) ಮೋಕೆದ ಸಮುದಾಯದ ಸದಸ್ಯೆರೆಗ್ ನಮಸ್ಕಾರ  ವಿಕಿಕಾನ್ಫರೆನ್ಸ್ ಇಂಡಿಯಾ ೨೦೨೬ ಗ್ ಸ್ವಯಂ-ನಿಧಿಟ್ ನೋಂದಣಿ ಬೊಕ್ಕ ನಿಕ್ಲೆನ ಪ್ರಸ್ತಾವೊಲೆನ ಸಂದೈತಗ್ ಲೆಪ್ಪು ಕೊರೊಂದುಲ್ಲ ಪನ್ಪುನ ಇಸಯ ನಿಕ್ಲೆಗ್ ತೆರಿಪಾಯೆರೆ ಎಂಕ್ಲೆಗ್ ಕುಸಿ ಆವೊಂದುಂಡು"
"Appe illard bolwiyad bati niye kundila aandh.","ಅಪ್ಪೆ ಇಲ್ಲಡ್ದ್ ಬಳುವಳಿಯಾದ್‌ ಬತ್ತಿ ನೆನೆಪುದ ಕೊಂಡಿಲಾ ಅಂದ್‌"
"If you ( Girish Karnad ) get a cut  buy a bigger one.","ಹಯವದನ (ಗಿರೀಶ ಕಾರ್ನಾಡ್)  ಕಟ್ಟಳೆ ಬೆಳಕು  ಹುಚ್ಚು ಕುದುರೆ  ಎವಮ್ ಇಂದ್ರಜಿತು  ಒಡಿಪಸ್  ಸಂಕ್ರಾಂತಿ  ಜೋಕುಮಾರ ಸ್ವಾಮಿ  ಸತ್ತವರ ನೆರಳು  ಹುತ್ತವ ಬಡಿದರೆ  ಬುಕ್ಕೊ ಗೋಕುಲ ನಿರ್ಗಮನ ಆರ್ನ ಪುದರ್ತೆದ ನಾಟೊಕೊಲು"
"Please fill in the question and answer box below.","ದೇಹೊಗು ಉಶ್ನ ಆಂಡ ಬಾಯಿಡ್ ಪುಡಿ ಬೂರುಂಡು"
"The Auspicious One IAST : Śiva ( / məˈhɑː ˈdeɪvə / ) म्हादेव ( Sanskrit : ममाधेव ) बुक्को और धर्माद मुख्यो दिवाद्याति )","'ದ ಅಸ್ಪಿಶಿಯಸ್ ಒನ್'  IAST: Śiva [ɕɪʋɐ]🔈)  ಮಹಾದೇವ (/məˈhɑː ˈdeɪvə/🔈; ಸಂಸ್ಕೃತ ಮಹಾ: ದೇವೆರ್ : IAST: ಮಹಾದೇವಹ್  [mɐɦaːd̪eːʋɐh]) ಬುಕ್ಕೊ್ಕ ಹರ  ಹಿಂದೂ ಧರ್ಮದ ಮುಕ್ಯೊ ದೇವತೆಲೆಡ್ ಒರಿಯೆ"
"The first thing I want to do is to get in touch with someone special  someone unique  someone who has been in contact with someone else.","ನನೊಂಜಿ ಬರವುದಕುಲು ಸೂಚನೆ ಮಲ್ಪುನಂಚಿನ ಕೊಂಬು ವಿಷ ಕೊರ್ನಗ ಬೆಚ್ಚ ಆಪುಂಡು  ಕೊಂಬು ಒಂಜಿ ಪ್ರತಿವಿಷ ಆದುಂಡು  ಬೊಕ್ಕ ಅವೆನ್ ಅಲಿಕಾರ್ನ್ ಗ್ ಸಂಪರ್ಕ ಮಲ್ಪುಂಡು  ಉಂದು ಯುರೋಪ್ ಡ್ ಪ್ರಚಲಿತವಾದಿತ್ತ್ಂಡ್  ಆಂಡಲಾ ಈ ಸಂಪರ್ಕೊನು ಮಾತಾ ಬರವುದಕುಲು ಮಲ್ತೊಂದಿಜ್ಜೆರ್"
"Take a look at : The Sixth Finance Commission ( Al-Bad ) ; The Sixth Pay Commission ( Apex Council ) ; and The Seventh Pay Commission of the United Kingdom ( UNCLUSIBLE ).","ಆಖಾಡೊಲು: ಶೈವ ಶ್ರೀ ಪಂಚಾಯಿತಿ ಅಖಾಡ ಮಹಾನಿರ್ವಾಣಿ (ಅಲಹಾಬಾದ್)  ಶ್ರೀ ಪಂಚ ಅಟಲ್‌ ಅಖಾಡ (ವಾರಾಣಸಿ)  ಶ್ರೀ ಪಂಚಾಯಿತಿ ಅಖಾಡ ನಿರಂಜನಿ (ಅಲಹಾಬಾದ್)  ತಪೋನಿಧಿ ಶ್ರೀ ಆನಂದ ಅಖಾಡ ಪಂಚಾಯಿತಿ (ನಾಸಿಕ್‌)  ಶ್ರೀ ಪಂಚದಶನಾಮ ಜುನಾ ಅಖಾಡ (ವಾರಾಣಸಿ)  ಶ್ರೀ ಪಂಚದಶನಾಮ ಪಂಚಗಣಿ ಅಖಾಡ (ಜುನಾಗಡ  ಗುಜರಾತ್‌)"
"Today is our TENSD SUTARPOLI.","ಇಂದೆನ್ ನಮ್ಮ ತೆನಸ್ಡ್ ಸುದಾರ್ಪೊಲಿ"
"Alain Coutomba is a former German football player.","ಅಲ್ ಬಾಲೆ ಆನಗ ಅಲೆನ ಕುಟುಂಬ ಪೂರ್ವ ಜರ್ಮನಿಗ್ ಪೋಯೆರ್"
"A Edgy Eft left-right.","೧೦ Edgy Eft ೨೦೦೬-೧೦-೨೬ ೭"
"This institution is not 12 per cent.","ಈ ಸಂಸ್ಥೆಗ್ 12 ಶಾಖೆಲು ಉಲ್ಲ"
"Orkuttil Durgaparameshwari proposed Yakshagana Mandali Rdne will be provided with high-speed rail service.","ಆರ್ ಕಟೀಲು ದುರ್ಗಾಪರಮೇಶ್ವರಿ ಪ್ರಸಾದಿತ ಯಕ್ಷಗಾನ ಮಂಡಳಿದ ರಡ್ಡನೇ ಮೇಳೊಡ್ ಸೇವೆ ಮಲ್ತೊಂದಿತ್ತೆರ್"
"Dudd Itnaig Guno Eijji. Guno Ittaig Dudd Eijiji","ದುಡ್ಡ್ ಇತ್ಇನಾಯಗ್ ಗುಣೊ ಇಜ್ಜಿ; ಗುಣೊ ಇತ್ತಿನಾಯಗ್ ದುಡ್ಡ್ ಇಜ್ಜಿ"
"Tell your partner that they've had enough.","ತೆಮ್ಮ ಜಾಸ್ತಿ ಯಾದ್ ತೆಮ್ಮದೊಟ್ಟಿಗೆ ಕಫ ಲ ಪಿದಯಿ ಬರ್ಪುಂಡು"
"Customized Bucco Porpoet is a cool name for the product.","ಪತ್ತವಾಜೆಡ್ಡ್ ಬುಕ್ಕೊ ಪರ್ಬೊ ಮುಟ್ಟು ಒವ್ವೆ ಕೋಲ ನೇಮ ಉಪ್ಪುಜಿ"
"Give me a call this morning.","ಈ ಕಾಯಿ ತೂವರೆ ಮುಸುಂಬಿಲೆಕ ಇಪ್ಪುಂಡು"
"There is a lot of paul in the internet","ಇಂದೆಟ್ಟ್ ನಿಕ್‌‌ಲ್‌ಲಾ ಪಾಲ್ ದೆತೊನುಲೆ"
"Bookmark the permalink.","ಮೇರ್ ಚಲನಚಿತ್ರನ್ ರಜಾ ದಿನಟ್ ಚಿತ್ರೀಕರಣ ಮಲ್ತೊಂದಿತ್ತೆರ್ ಬುಕ್ಕೊ ಶೂಟಿಂಗ್ ಮುಗಿಯಿನ ಬುಕ್ಕೊ ಮೆರ್ನ ಅಧ್ಯಯನಕ್ ಪೋಯೆರ್"
"Take a look at Chen in Beijing from the bank of the Ganges","ಓ ಗಂಜಿಗ್‌ ದಾಲದ್ದಿಂದ್‌ ಚೆನ್ನು ಬಂಜಿಗ್ ನೋತೋಂಡಲ್‌"
"The KB for the slider is the same as the KB engine for the box.","ಸೀಲುತಾ ವಿಧಕುಲು ಕೆಬಿ ಇತ್ತಿನ ಬುಕ್ಕೊ ಕೆಬಿ ಇದ್ಯಾಂತಿನವು"
"If you look at a person's profile on the other side of the aisle  you can see that Ammere's photo says  "" This relationship is one of trust  trust  and empathy. ""","ಆರ್ ಸುರುಕು ಬೇತೆ ಒರಿನೊಟ್ಟುಗು ಜೀವನ ಮಲ್ಪೆರೆ ಸುರು ಮಲ್ತಿನಗ ಅರೆನ ಅಮ್ಮೆರೆನ ಸ್ಫೋಟೊನು ನೆನಪು ಮಲ್ಪುವೆರ್; ""ಈ ಸಂಬಂಧ ಶಾಶ್ವತ ಅತ್ತ್ಂಡ ಅತ್ತ್ ಪನ್ಪಿನೆನ್ ಎಂಕ್ ತೆರಿಯೊನೊಡಾಪುಂಡು ಪಂದ್ ಎಂಕ್ಲೆಗ್ ವಿವರಿಸಯೆರ್ "" ಪಂದ್ ಆರ್ ಪನ್ಪೆರ್"
"Prem Khedi Left Pelli Pustakan ( Off-roader ) : Prem Sidhu was born in 1992 to a Bengali father and a Bengali mother.","ಪ್ರೇಮ ಖೈದಿ ೧೯೯೧ ಪೆಲ್ಲಿ ಪುಸ್ತಕಂ (ದಿವ್ಯ ವಾಣಿ ನ ಅಪ್ಪೆ)  ಪರಮ ಸಿವುಡು 1992 ವಾಲು ಜಡ ತೋಳು ಬೆಳ್ತು  ಚಿತ್ರಂ"
"Computers with Culture Laptopware","ಸಂಸ್ಕೃತೊಡು ವಿಕಂಟಕ ಲೆಪ್ಪುವೆರ್"
"On the other hand  on the left side of the screen is the bar icon and on the right side is the button.","ಅಂಚೆನೆ ಈಡಿ ದೇಶೊಡೆ ೩೦೦೦೦ ಬಾರ್ ಸಂಸ್ಕರಣಾ ಘಟಕ ಅಂದು ಪುದರ್ಲ ಮಲ್ದುಂಡು"
"The market share of BlackBerry Aircooled has increased by 13 per cent since the inception of the company.","ಚಾಂಗ್ಶು ಸಾಂಪ್ರದಾಯಿಕವಾದ್ ಸ್ಥಳೀಯವಾದ್ ಉತ್ಪಾದನೆ ಆಯಿನ ಅರಿ  ಜೋಳ  ಗೋಧಿ  ಚಾ  ಬೊಕ್ಕ ಮಲ್ಬೆರಿ ಇರೆಕುಲೆನ ಮಾರುಕಟ್ಟೆದ ಊರು ಆದುಂಡು  ಬೊಕ್ಕ 13ನೆ ಶತಮಾನೊಡ್ದ್ ಬೊಕ್ಕ ಉಂದು ಒಂಜಿ ಪ್ರಮುಖ ಪರ್ತಿ ಉತ್ಪಾದನೆ ಮಲ್ಪುನ ಜಿಲ್ಲೆ ಆದುಂಡು"
